;Gloss;Examples
1.;"「ああいう〜」 {ああ言う〜 51} [""such __""]";1593-45
2.;"「AばBほど」 {AばB程* 588} [""the more A, the more B""]";"143-3; 588-8; 934-17"
3.;"「あえて〜」 {敢えて〜* 809} [""dare to __"", ""venture to __""]";"809-2; 809-9; 1191-26"
4.;"「〜あげく(に)」 {〜挙げ句に* / 〜揚げ句に* 1247, 166} [""after much __ing""]";"1144-31; 1589-10"
5.;"「あげる」 {上げる* 41} [""give (to someone)""]";"3-2; 29-7"
6.;"「〜あいだに」 {〜間に 448} [""while __""]";"4-3; 10-2; 75-9"
7.;"「あくまで(も)」 {飽くまで(も)* / 飽く迄(も)** 1964, 1806} [""to the last""]";1971-20
8.;"「〜あまり」 {〜余り 995} [""on account of too much __""]";"941-12; 1237-9; 1597-8; 1990-7"
9.;"「あまり〜ない / あんまり〜ない」 {余り〜ない 995} [""not very (much) __""]";"76-3; 114-8; 226-3; 274-17; 383-31"
10.;"「あまりに(も)〜 / あんまりに(も)〜」 {余りに(も)〜 995} [""too __""]";"217-3; 302-6"
11.;"「あなた」 {貴方 1177, 173} [formal: ""you""]";"21-3; 46-8; 232-6"
12.;"「AのはBのことだ」 {AのはBの事だ* 80} [time of occurrence: ""It was/will be B when A""]";1737-5
13.;"「〜ありますか」 {〜有りますか* 400} [""is/are there any __?""; ""do you have any __?""]";1-5
14.;"「ある」 {有る 400} [""exist""; ""have""]";"1-5; 2-3; 3-4; 3-7"
15.;"「あるいは」 {或は* 1152} [""or""]";"454-6; 976-26; 1152-2"
16.;"「あたかも〜」 [""as if __""]";"1525-44; 1803-8; 1877-13"
17.;"「〜あと」 {〜後 114} [""after __""].";"114-11; 138-2"
18.;"「あと〜」 {後〜 114} [""__ left"", ""__ longer"", ""__ until""].";"1-4; 1-7"
19.;"「〜ということは」 {〜と言うことは* / 〜と言う事は** 51, 80} [presents preceding clause as the subject of the sentence: ""that __""]";"649-19; 653-27; 1118-10; 1518-12; 1554-10"
20.;"「わあ」 [female: exclamation]";2015-4
21.;"「AはBだ」 [""A is B""]";"3-5; 4-5; 5-4; 7-5; 8-3; 8-7; 9-3; 9-8"
22.;"「-ば」 [""if __""]";"58-4; 91-5; 91-9"
23.;"「〜ばかり」 [""just __""]";"134-2; 179-14; 269-10; 553-9"
24.;"「〜ばかりか」 [""not just __""].";"1062-21; 1497-4"
25.;"「-ばよかった」 {-ば良かった* 285} [""should have __ed""; ""wish had __ed""]";"143-8; 148-7; 274-8"
26.;"「〜べからず / 〜べからざる」 [""do not __""]";"1153-13; 1273-5"
27.;"「〜べきだ」 [""should  __""; ""must  __""]";"79-6; 159-10; 189-4"
28.;"「〜べく」 [""in order to __""; ""so that __""]";"1223-17; 1481-21; 1605-17"
29.;"「〜べくもない」 [""there is no way to __""]";2222-9
30.;"「ぼく」 {僕 1358} [informal: ""I""]";"15-17; 17-4; 40-2"
31.;"「-ぶん」 {-分 88} [portion]";88-8
32.;"「-ぶり」 {-振り* 903} [""for the first time in __""]";"6-2; 904-3"
33.;"「-ちゃ」 [colloquial contraction of -ては: links a verb with a negative statement]";1160-10
34.;"「-ちゃう」 [colloquial contraction of -てしまう: ""do (something regrettable)""; ""finish __ing""]";"529-18; 1941-6"
35.;"「ちなみに〜」 {因みに〜** 1725} [""incidentally __""]";632-24
36.;"「ちっとも〜ない」 {些とも〜ない* 1789} [""no __ whatsoever""]";"942-28; 2050-13"
37.;"「Compound verbs」";"59-2; 64-7; 67-6"
38.;"「Counters」";"2-1; 3-2"
39.;"「だが」 [""but""]";106-7
40.;"「だい」 [male alternative to か]";1332-4
41.;"「だから」 [""so"", ""that’s why""; ""since"", ""because""]";"43-4; 86-20; 87-6"
42.;"「だからといって〜」 {だからと言って〜 51} [""but it doesn’t follow that __""]";2225-11
43.;"「〜だけ」 [""just __""]";"15-7; 19-4; 51-6; 65-11; 95-9"
44.;"「〜だけで」 [""just by __ing""]";"850-21; 981-24; 1260-32"
45.;"「〜だけで(は)なく / 〜だけじゃなくて」 [""not just __""]";"418-4; 983-14; 1101-21"
46.;"「だけど」 [""but""]";"231-3; 258-5; 280-17"
47.;"「〜だけのことはある」 {〜だけの事はある* 80} [""not __ for nothing""]";1462-14
48.;"「〜だの」 [""__ and __ and the like""]";1475-58
49.;"「-だらけ」 [""covered all over with __""; ""full of __""]";"78-13; 198-5; 878-15; 882-20"
50.;"「だれか」 {誰か 2155} [""someone""]";"159-19; 266-22"
51.;"「だれも」 {誰も 2155} [""no one""]";"47-10; 66-9"
52.;"「だれの」 {誰の 2155} [""whose""]";98-1
53.;"「〜だろう / 〜でしょう」 [""probably __""]";"36-5; 62-2; 265-3; 280-11"
54.;"「〜だろうが〜だろうが / 〜だろうと〜だろうと」 [""be it __ or __""]";"815-17; 923-18; 2179-19"
55.;"「〜だろうか / 〜でしょうか」 [""I wonder __""]";"55-4; 67-10; 115-7; 118-4"
56.;"「-だす」 {-出す 38} [""__ out""; ""start to __""]";"59-2; 83-13; 87-4; 90-11; 166-5"
57.;"「だった」 [past tense of copula だ]";"2-4; 33-11; 48-3"
58.;"「だって〜」 [""because __""]";613-12
59.;"「〜だって」 [""__ too""; ""even __""]";"189-12; 1247-12; 1350-30"
60.;"「〜で」 [""due to __""]";"91-10; 108-7"
61.;"「〜で」 [instrument]";"17-3; 40-10; 79-3; 88-7; 99-12"
62.;"「〜で」 [location]";"2-7; 33-8; 36-2; 37-4"
63.;"「〜で」 [time]";"10-1; 50-6"
64.;"「〜であれ」 [""though it may be __""]";"953-11; 1863-10; 2052-8"
65.;"「〜であれ〜であれ」 [""be it __ or __""]";"1596-21; 1761-20; 1984-22; 2037-12"
66.;"「〜であろう」 [expression of conjecture or resoluteness]";"455-16; 1046-12"
67.;"「である vs. だ」";"15-10; 75-6"
68.;"「〜であっても」 [""though it may be __""]";"1121-32; 1198-12; 1223-23"
69.;"「〜でできる」 {〜で出来る 38, 274} [""be made of __""]";"28-5; 211-2; 212-2"
70.;"「〜でございます」 {〜で御座います** 862, 749} [""be __""]";1595-37
71.;"「できるだけ〜」[""as __ as possible"", ""as much as possible __""]";"407-10; 651-14; 669-14; 922-27"
72.;"「〜でも」 [""even __""]";"80-16; 142-23; 232-8"
73.;"「ではない vs. じゃない」";"15-20; 126-25"
74.;"「どこか」 {何処か** 815, 553} [""somewhere""]";"339-9; 992-14"
75.;"「どこも」 {何処も** 815, 553} [""everywhere""; ""anywhere""]";899-15
76.;"「〜どころか」 [""far from  __""]";"1748-8; 2092-9"
77.;"「-ども」 {-共 356} [plural personal pronoun suffix]";"94-13; 486-26; 546-40; 1510-21"
78.;"「どんなに〜」 [""no matter how  __""]";"232-8; 423-16; 1236-34"
79.;"「どんなに〜か」 [""how __(!)""]";"703-5; 1380-12; 1470-22"
80.;"「どれほど〜か」 {どれ程〜か* 588} [""how __(!)""]";"1878-12; 2145-15"
81.;"「どう」 {如何** 2197, 815} [""how""]";"93-4; 104-6; 222-12"
82.;"「どうか〜」 {如何か〜** 2197, 815} [""please by all means __""; ""pray  __""]";"402-10; 794-14; 1160-11; 1427-13; 1402-3; 1562-5"
83.;"「どうも」 [""somehow""; ""no matter how""]";"15-21; 276-19; 385-9; 546-31"
84.;"「どうにか〜」 {如何にか〜** 2197, 815} [""somehow""]";1448-19
85.;"「-どうし」 {-同士 182, 350} [""fellow __""; ""between/among __""]";"350-8; 498-12; 758-39; 777-6; 963-10"
86.;"「どうぞ」 [""please""]";"35-7; 41-1; 80-11"
87.;"「へ」 [indicates direction]";"41-1; 55-2"
88.;"「Ellipsis」";"1-5; 2-6; 2-9"
89.;"「〜ふうに」 {〜風に 425} [""in (such a) way""]";"1026-18; 1472-22"
90.;"「が」 [""but""]";"83-31; 84-9"
91.;"「が」 [subject marker]";"1-2; 1-5; 1-8"
92.;"「-がち」 {-勝ち 460} [""tend to __""]";"75-6; 422-25; 1662-14"
93.;"「〜がほしい」 {〜が欲しい 1035} [""want  __""]";"6-6; 10-6; 12-5"
94.;"「-がる」 [have or express a feeling; pretend]";"252-3; 309-15; 432-11; 659-4"
95.;"「-がた」 {-方 173} [plural personal pronoun suffix]";"232-6; 869-43; 873-12; 988-11"
96.;"「-がたい」 {-難い* 712} [""un__able""]";"151-8; 548-10; 683-24; 843-31; 1013-10"
97.;"「-げ」[""__-looking"", ""__-like""]";"336-6; 452-5; 460-4; 506-3; 597-25; 779-6; 934-15; 1152-6; 1218-5"
98.;"「〜ごろ」 {〜頃* 1916} [""around __""]";"35-2; 115-4; 265-2"
99.;"「-ごとに」 {-毎に* 105} [""every __""]";"1-1; 55-15; 105-1"
100.;"「〜ごとし」 {〜如し* 2197} [""as if __""]";2197-6
101.;"「ぎゃくに」 {逆に 1775} [""on the contrary""]";1775-21
102.;"「-はじめる」 {-始める 956} [""begin to __""]";"498-8; 889-20; 1225-13"
103.;"「はたして〜」 {果たして〜* 599} [""indeed __""]";"1231-4; 1248-8"
104.;"「はず」 {筈* 1442} [expectation]";"106-7; 237-26; 284-9"
105.;"「〜はずがない」 {〜筈がない 1442} [""__ is impossible""]";864-17
106.;"「〜ほど」 {〜程* 588} [""to __ extent""]";"61-7; 136-19; 208-6; 239-14; 313-3"
107.;"「Honorific verbs」";"77-2; 77-3; 302-3; 371-17; 787-17; 1103-6; 1170-20; 2195-3"
108.;"「ほとんど〜ない」 {殆ど〜ない* 2192} [""almost no(t) __""; ""almost never __""]";"53-15; 63-7; 67-3; 237-25"
109.;"「〜ほうがいい」 {〜方がいい / 〜方が良い* 173} [""had better __""]";"42-5; 173-19; 184-3"
110.;"「〜ほうが〜より」 {〜方が〜より 173} [comparison]";"314-12; 1695-2"
111.;"「Humble expressions」";"53-4; 251-1; 280-16; 1238-9"
112.;"「ひょっとしたら〜 / ひょっとして〜 / ひょっとすると〜」 [""possibly __""]";2173-9
113.;"「一 + counter + として〜ない」 [""not a single __""]";"276-20; 1502-29; 1885-7"
114.;"「いちばん」 {一番 2, 299} [superlative]";"54-9; 91-12; 130-8; 299-1"
115.;"「〜いがい」 {〜以外 66, 266} [""besides __""]";"266-17; 291-2"
116.;"「〜いじょう(は)」 {〜以上は 66, 41} [""given that __""]";2037-8
117.;"「いかが」 {如何** 2197, 815} [""how""; ""would you like __""]";"2-9; 787-14; 2197-31"
118.;"「いかなる〜」 {如何なる〜** 2197, 815} [""any __""]";"552-9; 636-7; 684-14; 704-15"
119.;"「いかに〜」 {如何に〜** 2197, 815} [""how __""]";"946-3; 1117-11; 1806-2; 2197-26; 2197-30"
120.;"「いかにも〜」 {如何にも〜** 2197, 815} [""truly __""]";"1656-15; 2197-13"
121.;"「いく」 {行く 55} [""go""]";"30-7; 55-1"
122.;"「〜いますか」 {〜居ますか* 255} [inquire as to __'s existence or presence]";"94-8; 100-3"
123.;"「Imperative verb ending」";"138-7; 274-12; 497-6; 581-4; 639-1; 642-10; 653-4; 1356-8"
124.;"「infinitive + な」 [prohibitive: ""don't __""]";"51-3; 80-2; 90-7; 125-8"
125.;"「〜いっぽう(だ)」 {〜一方(だ) 2, 173} [""only __""; ""keep on __ing""]";"239-4; 239-13; 353-9; 555-17"
126.;"「いっぽう(で)」 {一方(で) 2, 173} [""while""]";"669-22; 815-28; 1166-13; 1551-9"
127.;"「いっぽうで〜たほうで」 {一方で〜他方で 2, 173, 189, 173} [""on one hand, __; on the other hand, __""]";"1912-46; 2024-7"
128.;"「Irregular humble polite forms」";"21-7; 226-8; 251-1; 276-10; 315-1; 407-7; 1238-9; 1642-2"
129.;"「Irregular verb: くる」";"21-9; 210-7; 274-12; 274-20; 369-6; 699-26; 1419-20"
130.;"「Irregular verb: する」";"1-8; 4-6; 6-4; 15-24; 16-6; 53-16; 54-3; 274-20"
131.;"「いる」 {居る* 255} [""exist""; ""be present""]";"1-6; 34-2; 35-8; 36-10; 40-8; 51-20"
132.;"「いる」 {要る* 547} [""need""]";"143-11; 547-3"
133.;"「いっさい〜ない」 {一切〜ない 2, 86} [""no __ whatsoever""]";"1771-20; 2213-29"
134.;"「いっしょに」 {一緒に 2, 1450} [""together""]";"377-7; 379-14; 649-9; 763-8; 1450-5"
135.;"「いっそう〜」 {一層〜 2, 1224} [""still more __""]";"528-19; 1224-5; 1435-39; 1468-5"
136.;"「いつか」 {何時か** 815, 383} [""sometime""]";"21-7; 326-3"
137.;"「いつも」 {何時も** 815, 383} [""always""]";"2-5; 50-9; 55-12; 67-7"
138.;"「いったん〜」 {一旦〜 2, 1392} [""once __""; "" __ for a time""]";"1392-1; 1392-3; 1468-7; 1517-12; 1662-14; 1689-23"
139.;"「いわば〜」 {言わば〜 51} [""__, so to speak""]";1761-21
140.;"「いわゆる〜」 [""so-called  __""]";"592-11; 642-14; 780-18; 852-8; 1715-36"
141.;"「いぜん(として)」 {依然(として) 701, 760} [""as ever""]";"760-23; 1257-52"
142.;"「-じしん」 {-自身 81, 60} [""__ oneself""]";"81-3; 88-22; 252-5; 420-13"
143.;"「-じたい」 {-自体 81, 62} [""__ itself""]";"569-20; 987-4"
144.;"「-じょう」 {-上 41} [""for __""]";"454-6; 501-12"
145.;"「か」 [""or""]";"3-7; 39-13; 173-16"
146.;"「か」 [question marker]";"1-5; 2-9"
147.;"「〜かどうか」 [""whether __ (or not)""]";"88-20; 97-9"
148.;"「かえって〜」 {却って〜* / 反って〜* 733, 374} [""on the contrary __""]";1570-17
149.;"「〜かぎり」[""as long as __""; ""unless__""]";"282-12; 650-26; 892-28; 1323-2; 1407-22"
150.;"「〜かぎりだ」 {〜限りだ 282} [""extremely __""]";2040-1
151.;"「かい」 [male alternative to か]";"26-4; 1269-17"
152.;"「〜かいなか」 {〜か否か 552} [""whether __ (or not)""]";"552-2; 1097-21; 1503-18"
153.;"「〜か〜か」 [""whether __ or __""]";"36-12; 829-16; 1073-12"
154.;"「〜か〜か」 [""either __ or __""]";"478-10; 969-2; 984-13; 1503-7"
155.;"「かかる」 {掛かる* 1117} [""hang""; ""be caught""]";"18-7; 21-7; 180-15"
156.;"「かける」 {掛ける* 1117} [""hang""; ""put"", ""put on""]";"27-3; 53-11; 72-2"
157.;"「〜かもしれない」 {〜かも知れない* 560} [""might __""]";"142-23; 315-9; 431-6; 502-9"
158.;"「〜かな / 〜かなあ」 [male: ""I wonder __""]";"1028-13; 1269-22"
159.;"「かならずしも〜ない」 {必ずしも〜ない 549} [""not necessarily __""]";"574-22; 721-20; 936-13; 950-31; 1087-30; 1269-25"
160.;"「-かねる」 {-兼ねる 1006} [""cannot __""]";"1006-2; 1006-6; 1717-2"
161.;"「〜かのように」 [""as though __""]";"580-15; 802-13; 815-16; 1075-21; 1305-8; 1342-24"
162.;"「〜から」 [""because __""]";43-4
163.;"「〜から」 [""from __""]";"17-5; 24-7; 32-3; 34-4; 36-5"
164.;"「〜からできる」 {〜から出来る 38, 274} [""be made from __""]";"34-4; 654-6"
165.;"「〜から〜まで」 [""from __ to __""]";"5-5; 28-4; 37-2"
166.;"「〜から〜にいたるまで」 {〜から〜に至るまで 250} [""from A to Z""]";"1264-6; 1656-14"
167.;"「〜から〜にかけて」 [""from __ through __""]";"114-14; 117-15; 402-5"
168.;"「〜からといって」 {〜からと言って 51} [""just because __""]";"760-47; 1505-22; 1505-25"
169.;"「かりに〜」 {仮に〜 921} [""assuming __""]";"921-9; 921-13; 921-17; 1405-14"
170.;"「-かろう」 [""probably __""]";"679-33; 1757-2; 1798-5; 2165-24; 2227-20"
171.;"「かしら」 [female: ""I wonder""]";971-35
172.;"「-かた」 {-方 173} [""way of __""; ""how to __""]";"99-15; 173-11"
173.;"「-かたをする」 {-方をする 173} [""in (such a) way""]";"169-14; 245-7"
174.;"「かつ」 {且つ* 263} [""and""]";"263-1; 633-21; 926-35; 1092-5"
175.;"「〜けっか」 {〜結果 516, 599} [""after __""; ""as a result of __""]";"839-43; 949-21; 1087-32; 1128-24; 1339-14; 1696-26"
176.;"「けっこう〜」 {結構〜 516, 917} [""rather __""]";"917-17; 917-28; 917-37"
177.;"「〜けれども」 [""although __""]";"279-12; 1135-6; 1156-14"
178.;"「-けっして〜ない」[""never __"", ""by no means __""]";"330-6; 330-12; 330-15"
179.;"「〜きがする」[""I get the impression that __"", ""I think __""]";"126-4; 126-17; 136-16; 169-16"
180.;"「〜きこえる」 {〜聞こえる 453} [""__ can be heard""; ""sounds __""]";"453-8; 453-18; 579-16; 1089-24; 1518-5"
181.;"「きみ」 {君 1407} [informal: ""you""]";"2-10; 43-2; 94-9; 94-11; 126-29"
182.;"「〜がきらいだ」 {〜が嫌いだ* 2058} [""dislike __""]";"15-5; 161-2; 578-5"
183.;"「〜きらいがある」 [""have a propensity to  __""]";2035-9
184.;"「-っけ」 [informal question marker]";597-17
185.;"「〜(っ)きり」 [""since __""; ""only __""]";"15-17; 1015-12; 1035-21; 1142-7; 2162-8"
186.;"「こ / そ / あ / ど」";"2-8; 8-7; 9-8; 15-5; 15-12; 15-18; 36-5; 50-5; 53-7"
187.;"「この〜」 {此の〜** 1756} [""this (past) __""; ""this (coming) __""]";100-11
188.;"「このうえない」 {この上ない / 此の上ない** 41, 1756} [""utterly __""; ""supremely __""]";"81-8; 2058-38; 2062-26"
189.;"「〜こそ」 [places focus on the particular person, object, place, time, etc. that was just mentioned]";"296-2; 465-9; 1133-33; 1197-31; 1232-18"
190.;"「〜こと」 [imperative]";880-17
191.;"「こと」 {事 80} [intangible thing]";"23-5; 33-1; 43-4; 50-9; 51-17; 80-2"
192.;"「こと」 {事 80} [nominalizer]";"280-11; 312-6; 668-6; 1062-4"
193.;"「〜ことで」 {〜事で* 80} [""by virtue of __""]";"350-6; 682-25; 704-32; 793-29; 948-6; 1026-17"
194.;"「〜ことがある」 {〜事がある* 80} [""__ has occurred""]";"55-11; 57-2; 77-1; 129-4"
195.;"「〜ことがある」 {〜事がある* 80} [""__ does occur""]";"412-13; 619-22; 701-6; 748-20"
196.;"「〜ことができる」 {〜事ができる* 80} [""be able to __""]";"95-14; 98-6; 147-17; 165-5; 323-2"
197.;"「〜ことになる」 {〜事になる* 80} [""be decided that __""]";"55-21; 648-17; 780-39"
198.;"「〜ことになる」 {〜事になる* 80} [""end up that __""]";"454-14; 650-33; 944-15; 1127-13; 1147-25"
199.;"「〜ことにする」 {〜事にする* 80} [""decide to __""]";"84-11; 99-10; 226-15; 272-4"
200.;"「〜ことによる」 {〜事による* 80} [""result from __""]";2024-6
201.;"「〜ことは」 {〜事は* 80} [""indeed __ (but)""]";950-34
202.;"「〜ことはない」 {〜事はない* 80} [""__ is not necessary""; ""__ is not possible""]";"169-11; 232-8; 563-14; 760-32; 953-11"
203.;"「こういう〜 / こういった〜」 {こう言う〜 / こう言った〜 51} [""such __""]";"478-15; 618-9; 839-43; 1474-3; 1503-6"
204.;"「こうした〜」 [""such __""]";"697-10; 710-34; 804-13; 884-5"
205.;"「こうして」 [""like this""]";"467-11; 470-3; 1045-20"
206.;"「-く」 [""and""; ""so""]";"185-8; 199-7; 334-22"
207.;"「くださる」 {下さる 40} [""give""].";"867-9; 973-34; 1224-13; 2037-2"
208.;"「〜くらい」 {〜位* 577} [""about __""]";"33-11; 35-6; 62-4; 107-10; 182-12"
209.;"「〜くらい」 {〜位* 577} [""to __ extent""]";"92-10; 183-19; 355-13; 403-7; 805-19; 830-22; 864-17; 878-24"
210.;"「〜くれ」 {〜呉れ** 1478} [impolite request]";"51-6; 51-13; 427-9; 605-24; 659-4"
211.;"「〜くれる」 {〜呉れる** 1478} [""give""]";"237-33; 307-4; 478-16"
212.;"「くる」 {来る 274} [""come""]";"21-9; 31-6; 135-5; 219-15"
213.;"「〜くせに」 {〜癖に 1468} [""__ and yet""]";643-15
214.;"「くわえて〜」 {加えて〜 1147} [""in addition, __""]";"1147-17; 1162-17; 1195-21"
215.;"「まちがいなく」 {間違いなく 448, 663} [""unmistakably""]";"294-5; 663-18; 663-24"
216.;"「まだ〜」 [""still __""; ""not yet __""]";"4-1; 4-4; 36-6; 109-10; 136-19; 154-4"
217.;"「〜まで」 {〜迄** 1806} [""until __""]";"1-7; 7-6; 36-13"
218.;"「〜までもない」 {〜迄もない** 1806} [""no need to  __""]";"1624-7; 1811-14"
219.;"「〜までに」 {〜迄に** 1806} [""by (a point in time)""]";"97-4; 103-10; 152-19; 167-2"
220.;"「〜まい」 [""isn't/aren't/won't __""]";"478-15; 1907-16; 2027-20; 2037-12"
221.;"「まい〜のように」[""almost every __""]";2141-11
222.;"「〜まま」 [""as is/was""]";"220-4; 236-8; 253-6; 300-14; 308-7; 329-11"
223.;"「まさか〜」 [""surely not __""]";1407-26
224.;"「-ませんか」 [""won't you __""]";"61-3; 179-19; 221-6; 258-3; 280-8"
225.;"「まし(だ)」 [""(is) less undesirable""]";1965-6
226.;"「まして(や)〜」 [""to say nothing of __""]";2198-4
227.;"「-ましょう」 [""I/we shall __""; ""let's __""]";"9-4; 14-4; 21-7"
228.;"「-ましょうか」 [""shall I/we __""]";"223-5; 467-30; 959-9; 1765-5"
229.;"「または」 {又は* 58} [""or""]";"58-1; 60-10"
230.;"「まとめる」[""gather"", ""put together"", ""unify""; ""arrange"", ""summarize""].";"102-8; 183-18; 478-14; 989-12; 1587-20"
231.;"「-め」 {-目 21} [""__th""]";11-3
232.;"「めいめい」 {銘々 1546} [""each (person)""]";"1546-3; 1546-6; 2233-6"
233.;"「-めん」 {-面 175} [""aspect of __""]";"189-10; 305-9"
